Timestamp,TwDate,TwLoc,TwUserName,TwUserID,TwID,TwContent,ContentLoc,urls,Event
2019-02-10 22:00:00, 2019-02-05 10:30:57,Tunisie,TUNISCOPEcom,46120356,000,"Les gouvernorats de Siliana, Kasserine et Jendouba souffrent de coupures de l’eau potable https://t.co/j0bbbzzVcp","Silana,Kasserine,Jendouba",['https://t.co/j0bbbzzVcp'],1
2019-02-10 22:00:00, 2019-02-05 11:27:35,Tunisie,RadioShemsFm,195014153,000,"Perturbations et coupures de l’approvisionnement en eau potable dans les gouvernorats de Siliana, Kasserine et Jendouba https://t.co/3Sk2V370g0","Silana,Kasserine,Jendouba",['https://t.co/3Sk2V370g0'],1
2019-02-10 22:00:00, 2019-02-05 11:50:09,Tunisie,Nessmatv,42236944,000,"L'approvisionnement en eau potable reprendra, dans la nuit du mardi au mercredi... https://t.co/hAFm4dmiCB",,['https://t.co/hAFm4dmiCB'],1
2019-02-10 22:00:00, 2019-02-08 11:15:09,Tunisie,TUNISCOPEcom,46120356,000,"Perturbations et coupures dans l’approvisionnement en eau potable dans quelques régions à Jendouba et Béja https://t.co/qnFhE9rRU0","Jendouba,Béja",['https://t.co/qnFhE9rRU0'],1
2019-02-10 22:00:00, 2019-02-08 11:19:56,Tunisie,RadioShemsFm,195014153,000,"Perturbations dans l’approvisionnement en eau potable dans quelques régions à Jendouba et Béjà https://t.co/Hppav3y7sv","Jendouba,Béja",['https://t.co/Hppav3y7sv'],1
2019-02-10 22:00:00, 2019-02-08 11:50:26,Tunisie,Nessmatv,42236944,000,"La reprise sera progressive... https://t.co/6hRuGbJuy7",,['https://t.co/6hRuGbJuy7'],1
2019-02-10 22:00:00, 2019-02-08 12:52:35,Tunis,SaberMaala,2819496711,000,"#Tunisie : Perturbations et coupures dans l’approvisionnement en eau potable à Jendouba et à Béja https://t.co/34u2zoGUZ0","Jendouba,Béja",['https://t.co/34u2zoGUZ0'],1
2019-02-15 08:00:00, 2019-02-12 21:05:57,Tunisie,TUNumerique,226171563,000,"Tunisie - Tozeur : La SONEDE rassure sur la qualité de l’eau potable https://t.co/8kKk0aEvCI","Tozeur",['https://t.co/8kKk0aEvCI'],0
2019-02-15 08:00:00, 2019-02-14 09:15:09,Africa,odilon236,972065918,000,"Nos gouvernants ont l'habitude de prendre de l'eau minérale pdt que les populations sont en quête de l'eau potable. Les habitants d'un village Kenyan ont servi de l'eau sale aux autorités lors d'une réunion. Cela doit servir de leçon à tous. #Centrafrique https://t.co/weB3WnXdWO https://t.co/agUbx3Upsw",,"['https://t.co/weB3WnXdWO','https://t.co/agUbx3Upsw']",0
2019-02-15 08:00:00, 2019-02-14 12:57:33,Tunisie,RadioShemsFm,195014153,000,"Jendouba nord : le vol des équipements de la SONEDE prive plusieurs régions de l'eau potable https://t.co/CiiImo2QRI",Jendouba,['https://t.co/CiiImo2QRI'],1
2019-02-15 08:00:00, 2019-02-14 13:01:35,Tunisie,visions_tn,135121071,000,"le vol des équipements de la SONEDE prive plusieurs régions de l’eau potable https://t.co/K4PykDFykw https://t.co/dqXYeFItXt",,"['https://t.co/K4PykDFykw','https://t.co/dqXYeFItXt']",1
2019-02-15 08:00:00, 2019-02-14 15:54:11,Tunisie,RadioShemsFm,195014153,000,"Reprise cette nuit de l’approvisionnement en eau potable dans la région de Radès https://t.co/nAbyJ0Mqdz",Radès,['https://t.co/nAbyJ0Mqdz'],1
2019-02-15 08:00:00, 2019-02-14 16:00:12,Tunisie,Nessmatv,42236944,000,"Selon un communiqué de la SONEDE... https://t.co/cgb39AfWeF",,['https://t.co/cgb39AfWeF'],0
2019-02-20 21:30:00, 2019-02-16 18:30:09,Tunisie,Nessmatv,42236944,000,"Malgré le retard dans la réalisation... https://t.co/DJczsEnscn",,['https://t.co/DJczsEnscn'],0
2019-02-20 21:30:00, 2019-02-18 11:42:17,Tunisie,RadioShemsFm,195014153,000,"Ariana : pertrubation de la distribution d'eau potable dans plusieurs région demain à partir de 21h https://t.co/Pq0ZUtk7l1",Ariana,['https://t.co/Pq0ZUtk7l1'],1
2019-02-20 21:30:00, 2019-02-18 11:58:16,Tunisie,visions_tn,135121071,000,"pertrubation de la distribution d’eau potable dans plusieurs région demain à partir de 21h https://t.co/dzVjN9MQR4 https://t.co/3uDgWNfKPk",,"['https://t.co/dzVjN9MQR4', 'https://t.co/3uDgWNfKPk']",1
2019-02-20 21:30:00, 2019-02-18 12:15:23,Tunisie,TUNumerique,226171563,000,"Tunisie: Perturbation de l'approvisionnement en eau potable dans plusieurs zones de Raoued https://t.co/mW0QM8suaz",Raoued,['https://t.co/mW0QM8suaz'],1
2019-02-20 21:30:00, 2019-02-18 13:14:07,Tunis,mondherboussaa1,2982264873,000,"Une perturbation et une coupure dans l’approvisionnement en eau potable, seront enregistrées à partir du mardi 19 février 2019, à 21H, dans la délégation de #Raoued. #Tunis #Actualité https://t.co/gPZjeEFBwS https://t.co/KGuRRRc1l2",,"['https://t.co/gPZjeEFBwS','https://t.co/KGuRRRc1l2']",1
2019-02-20 21:30:00, 2019-02-18 17:10:08,Tunisie,Nessmatv,42236944,000,"A partir de demain, mardi 19 février 2019... https://t.co/XJC4x3GCFK",,['https://t.co/XJC4x3GCFK'],0
2019-02-20 21:30:00, 2019-02-19 08:27:36,Tunisie,WATCHWATER_TN,708242311218655232,000,"Les travaux se poursuivent pour assurer la reprise de l’approvisionnement en #eau potable à #Gafsa (SONEDE) https://t.co/GnvMp3DT3a",,['https://t.co/GnvMp3DT3a'],1
2019-02-24 16:40:30.461236,2019-02-19 09:23:20,Tunisie,radioexpressfm,191040022,1097788716855238656,"Distribution de l'eau potable : perturbations et coupure à Raoued ce soir https://t.co/7Yms5Qybde https://t.co/VYidVPAQFI",Raoued,"['https://t.co/7Yms5Qybde','https://t.co/VYidVPAQFI']",1
2019-02-24 16:40:30.461642,2019-02-19 08:27:36,Tunisie,WATCHWATER_TN,708242311218655232,1097774690502955008,"Les travaux se poursuivent pour assurer la reprise de l’approvisionnement en #eau potable à #Gafsa (SONEDE) https://t.co/GnvMp3DT3a",Gafsa,['https://t.co/GnvMp3DT3a'],1
